"contrast","ratio","SE","df","null","t.ratio","p.value"
"Lestrimelita limao / Melipona mandacaia",0.45571534463309,0.123085669201035,45,1,-2.90968660874047,0.466990361593142
"Lestrimelita limao / Melipona marginata",0.753260996588025,0.20251094714385,45,1,-1.05392627841177,0.999998610123063
"Lestrimelita limao / Melipona mondury",0.431461659008867,0.11600017893429,45,1,-3.1265174724339,0.329867474114275
"Lestrimelita limao / Melipona quadrifasciata",0.340854038809629,0.0933333383640914,45,1,-3.93065892726007,0.0566706475247422
"Lestrimelita limao / Melipona scutellaris",0.375795752322143,0.101519915300181,45,1,-3.62288394278436,0.119909780514387
"Lestrimelita limao / Nannotrigona testaceicornis",0.626308818784484,0.168518608149629,45,1,-1.7390199980938,0.992404688897939
"Lestrimelita limao / Oxytrigona tataira",1.30201691460855,0.432127594683183,45,1,0.795184553699987,0.999999997333171
"Lestrimelita limao / Partamona helleri",0.313004633522598,0.0845004552191392,45,1,-4.30253956928921,0.0208541028779965
"Lestrimelita limao / Plebeia droryana",0.505803542279134,0.139988665887864,45,1,-2.46276513345834,0.771017702199687
"Lestrimelita limao / Plebeia lucii",0.57376817972049,0.156890573026046,45,1,-2.03164112746862,0.953760007733625
"Lestrimelita limao / Plebeia phrynostoma",0.70468817233788,0.267514422222096,45,1,-0.92197189089985,0.999999921476021
"Lestrimelita limao / Scaptotrigona bipunctata",0.419908422951355,0.114965489635115,45,1,-3.16931944981833,0.305728623958333
"Lestrimelita limao / Scaptotrigona depilis",0.52553868661417,0.177692416394942,45,1,-1.90270121865148,0.97717404373472
"Lestrimelita limao / Scaptotrigona polysticta",0.34113918050641,0.0929403197342906,45,1,-3.94751339400821,0.0542713721937015
"Lestrimelita limao / Scaptotrigona xanthotricha",0.363068159052518,0.0991212715930981,45,1,-3.71108880275295,0.0975386461225777
"Lestrimelita limao / Schwarziana quadrifasciata",0.617126776286315,0.178474485792955,45,1,-1.66900746218778,0.995628246407305
"Lestrimelita limao / Tetragona clavipes",0.479731109452192,0.129154747808928,45,1,-2.72832913897418,0.593430071890446
"Lestrimelita limao / Tetragonisca angustula",0.664967829384683,0.179224147052275,45,1,-1.51384692407398,0.998955785470783
"Lestrimelita limao / Trigona hyalinata",0.597400625787757,0.172379791279168,45,1,-1.78536753330508,0.989357324569395
"Lestrimelita limao / Trigona spinipes",0.488971139720119,0.135160851549694,45,1,-2.58828856913877,0.690411845908946
"Melipona asilvai / Melipona bicolor",1.30903445565996,0.266016638788032,45,1,1.32514131356237,0.999885554303781
"Melipona asilvai / Melipona capixaba",0.983466002006857,0.186856379064628,45,1,-0.0877494892878431,1
"Melipona asilvai / Melipona captiosa",1.44404395715032,0.274479746303984,45,1,1.93314924692984,0.972715336372351
"Melipona asilvai / Melipona fulva",1.13535062303033,0.24990001049645,45,1,0.576723210329868,1
"Melipona asilvai / Melipona mandacaia",1.33670895633483,0.255441564360286,45,1,1.51865298921204,0.998903230955268
"Melipona asilvai / Melipona marginata",2.20947293624179,0.419805956857213,45,1,4.17232883952964,0.0298972908612974
"Melipona asilvai / Melipona mondury",1.26556779512567,0.240465207972751,45,1,1.23954576385115,0.999965939989521
"Melipona asilvai / Melipona quadrifasciata",0.999796587596948,0.195390936097603,45,1,-0.0010409475352745,1
"Melipona asilvai / Melipona scutellaris",1.10228798261343,0.210706369419748,45,1,0.509474993868847,1
"Melipona asilvai / Nannotrigona testaceicornis",1.83709549691542,0.351218389342577,45,1,3.18119839465593,0.299225136723265
"Melipona asilvai / Oxytrigona tataira",3.81908946352894,1.035394069355,45,1,4.94268413451117,0.003137077413088
"Melipona asilvai / Partamona helleri",0.918108424329713,0.175325354381581,45,1,-0.447413824526164,1
"Melipona asilvai / Plebeia droryana",1.48362817507222,0.29532502833108,45,1,1.9818073299418,0.96426625024612
"Melipona asilvai / Plebeia lucii",1.68298275167762,0.32812485101666,45,1,2.67003977678607,0.634308733110979
"Melipona asilvai / Plebeia phrynostoma",2.06699862640278,0.671114153634982,45,1,2.23634499006424,0.887898437406634
"Melipona asilvai / Scaptotrigona bipunctata",1.23167972377894,0.24065569365399,45,1,1.06648640331634,0.999998224507545
"Melipona asilvai / Scaptotrigona depilis",1.54151550429622,0.42827534082809,45,1,1.55767908061996,0.998385108107492
"Melipona asilvai / Scaptotrigona polysticta",1.00063296816741,0.193892130556045,45,1,0.00326557064328092,1
"Melipona asilvai / Scaptotrigona xanthotricha",1.06495527456123,0.207079854115617,45,1,0.323646258676232,1
"Melipona asilvai / Schwarziana quadrifasciata",1.81016263501095,0.392027121944992,45,1,2.74006737763109,0.58515966613446
"Melipona asilvai / Tetragona clavipes",1.40715224578073,0.267715044682959,45,1,1.79533484279586,0.988588366523044
"Melipona asilvai / Tetragonisca angustula",1.95049050614851,0.374641644093065,45,1,3.47821829024143,0.165561994103966
"Melipona asilvai / Trigona hyalinata",1.75230168660102,0.378194581287345,45,1,2.59897665716395,0.683198125559835
"Melipona asilvai / Trigona spinipes",1.43425519801045,0.284880240078901,45,1,1.81570316532563,0.986878818223843
"Melipona bicolor / Melipona capixaba",0.751291150324254,0.153174610940719,45,1,-1.40258710470385,0.999695685189715
"Melipona bicolor / Melipona captiosa",1.10313670576554,0.226523017360871,45,1,0.478014697116488,1
"Melipona bicolor / Melipona fulva",0.86731912832495,0.184655185533589,45,1,-0.668605062001481,0.999999999959471
"Melipona bicolor / Melipona mandacaia",1.0211411552654,0.201023547609484,45,1,0.106271485836793,1
