"Sample_species","Genus","RelAbundance"
"Melipona marginata","Pseudomonas",0.000735342634973628
"Melipona marginata","Rosenbergiella",0.00922640258035646
"Melipona marginata","Snodgrassella",0
"Melipona marginata","Swingsia",0
"Melipona marginata","Tatumella",0
"Melipona marginata","Weissella",0.193402869583404
"Melipona marginata","Zymobacter",0
"Melipona marginata",NA,0.00385611608884445
"Melipona mondury","Acinetobacter",0.000506059432701823
"Melipona mondury","Apibacter",0
"Melipona mondury","Apilactobacillus",0.0322537544865385
"Melipona mondury","Arsenophonus",0
"Melipona mondury","Asaia",0
"Melipona mondury","Bifidobacterium",0.00628482890064271
"Melipona mondury","Bombella",0.0414983179778334
"Melipona mondury","Bombilactobacillus",0
"Melipona mondury","Candidatus Kinetoplastibacterium",0.409994937116005
"Melipona mondury","Commensalibacter",0.22716749904165
"Melipona mondury","Dellaglioa",0.00999875337319151
"Melipona mondury","Dysgonomonas",0
"Melipona mondury","Enterococcus",0
"Melipona mondury","Floricoccus",0.0689982245446491
"Melipona mondury","Fructilactobacillus",0
"Melipona mondury","Fructobacillus",0.0157009261966926
"Melipona mondury","Lactobacillus",0.0224158860827477
"Melipona mondury","Lelliottia",0
"Melipona mondury","Leuconostoc",0.00943239609724433
"Melipona mondury","Ligilactobacillus",0.000119850932945695
"Melipona mondury","Liquorilactobacillus",0
"Melipona mondury","Lonsdalea",0
"Melipona mondury","Orbaceae_NA",6.24223609092161e-06
"Melipona mondury","Other",0.000924309611003836
"Melipona mondury","Pectinatus",0.000585729819864811
"Melipona mondury","Pseudomonas",0
"Melipona mondury","Rosenbergiella",0.000923850941456398
"Melipona mondury","Snodgrassella",0
"Melipona mondury","Swingsia",0
"Melipona mondury","Tatumella",0
"Melipona mondury","Weissella",0.146722581637005
"Melipona mondury","Zymobacter",0
"Melipona mondury",NA,0.00646585157173634
"Melipona quadrifasciata","Acinetobacter",0.0121565681196917
"Melipona quadrifasciata","Apibacter",0
"Melipona quadrifasciata","Apilactobacillus",0.0780364842552666
"Melipona quadrifasciata","Arsenophonus",5.12530366326716e-05
"Melipona quadrifasciata","Asaia",0
"Melipona quadrifasciata","Bifidobacterium",0.0297643113227116
"Melipona quadrifasciata","Bombella",0.0592940255973373
"Melipona quadrifasciata","Bombilactobacillus",0
"Melipona quadrifasciata","Candidatus Kinetoplastibacterium",0
"Melipona quadrifasciata","Commensalibacter",0.00549379912167999
"Melipona quadrifasciata","Dellaglioa",0.00269621746783223
"Melipona quadrifasciata","Dysgonomonas",0
"Melipona quadrifasciata","Enterococcus",0
"Melipona quadrifasciata","Floricoccus",0.0831390515724111
"Melipona quadrifasciata","Fructilactobacillus",0
"Melipona quadrifasciata","Fructobacillus",0.00183584519538441
"Melipona quadrifasciata","Lactobacillus",0.0495777086455437
"Melipona quadrifasciata","Lelliottia",0
"Melipona quadrifasciata","Leuconostoc",0.00285662045106816
"Melipona quadrifasciata","Ligilactobacillus",0.000146437247521919
"Melipona quadrifasciata","Liquorilactobacillus",0
"Melipona quadrifasciata","Lonsdalea",0
"Melipona quadrifasciata","Orbaceae_NA",8.78623485131513e-05
"Melipona quadrifasciata","Other",5.66443256161592e-05
"Melipona quadrifasciata","Pectinatus",0.0172132046120692
"Melipona quadrifasciata","Pseudomonas",0
"Melipona quadrifasciata","Rosenbergiella",0
"Melipona quadrifasciata","Snodgrassella",0
"Melipona quadrifasciata","Swingsia",0.641200392635332
"Melipona quadrifasciata","Tatumella",0
"Melipona quadrifasciata","Weissella",0.012001798407378
"Melipona quadrifasciata","Zymobacter",0
"Melipona quadrifasciata",NA,0.00439177563800983
"Melipona scutellaris","Acinetobacter",0.00378805023180382
"Melipona scutellaris","Apibacter",0
"Melipona scutellaris","Apilactobacillus",0.049501837565302
"Melipona scutellaris","Arsenophonus",0.000642370280652982
"Melipona scutellaris","Asaia",0.000401481425408114
"Melipona scutellaris","Bifidobacterium",0.0117170723998434
"Melipona scutellaris","Bombella",0.496936412319297
"Melipona scutellaris","Bombilactobacillus",0
"Melipona scutellaris","Candidatus Kinetoplastibacterium",0
"Melipona scutellaris","Commensalibacter",0
"Melipona scutellaris","Dellaglioa",0.000779181792358572
"Melipona scutellaris","Dysgonomonas",0
"Melipona scutellaris","Enterococcus",0
"Melipona scutellaris","Floricoccus",0.100115025857473
"Melipona scutellaris","Fructilactobacillus",0
"Melipona scutellaris","Fructobacillus",0.000716807661401197
"Melipona scutellaris","Lactobacillus",0.262177220981491
"Melipona scutellaris","Lelliottia",0
"Melipona scutellaris","Leuconostoc",0.0176720749730531
"Melipona scutellaris","Ligilactobacillus",0.00240982254258399
"Melipona scutellaris","Liquorilactobacillus",0
"Melipona scutellaris","Lonsdalea",0
"Melipona scutellaris","Orbaceae_NA",3.68088217493577e-05
"Melipona scutellaris","Other",0.000253691891939889
"Melipona scutellaris","Pectinatus",0.0344478137863009
"Melipona scutellaris","Pseudomonas",0.000446299142677751
"Melipona scutellaris","Rosenbergiella",0.000963555420979473
"Melipona scutellaris","Snodgrassella",0
"Melipona scutellaris","Swingsia",0
"Melipona scutellaris","Tatumella",0
"Melipona scutellaris","Weissella",0
"Melipona scutellaris","Zymobacter",0
"Melipona scutellaris",NA,0.0169944729056833
"Nannotrigona testaceicornis","Acinetobacter",0.0257245401615616
"Nannotrigona testaceicornis","Apibacter",0
"Nannotrigona testaceicornis","Apilactobacillus",0
"Nannotrigona testaceicornis","Arsenophonus",0.0105009067286312
"Nannotrigona testaceicornis","Asaia",6.55277266801776e-05
"Nannotrigona testaceicornis","Bifidobacterium",0
"Nannotrigona testaceicornis","Bombella",0.115003333408901
"Nannotrigona testaceicornis","Bombilactobacillus",0
"Nannotrigona testaceicornis","Candidatus Kinetoplastibacterium",0
"Nannotrigona testaceicornis","Commensalibacter",0
"Nannotrigona testaceicornis","Dellaglioa",0.0022817158740343
"Nannotrigona testaceicornis","Dysgonomonas",0
"Nannotrigona testaceicornis","Enterococcus",0
"Nannotrigona testaceicornis","Floricoccus",0
"Nannotrigona testaceicornis","Fructilactobacillus",0
"Nannotrigona testaceicornis","Fructobacillus",0
"Nannotrigona testaceicornis","Lactobacillus",1.22399517635477e-05
"Nannotrigona testaceicornis","Lelliottia",0.384184693010769
"Nannotrigona testaceicornis","Leuconostoc",0.00050262705715506
"Nannotrigona testaceicornis","Ligilactobacillus",7.51958671891714e-05
"Nannotrigona testaceicornis","Liquorilactobacillus",0
"Nannotrigona testaceicornis","Lonsdalea",0
"Nannotrigona testaceicornis","Orbaceae_NA",8.09671626267441e-05
"Nannotrigona testaceicornis","Other",9.13582738861569e-05
"Nannotrigona testaceicornis","Pectinatus",5.73139231624782e-06
"Nannotrigona testaceicornis","Pseudomonas",0.000466887871882089
"Nannotrigona testaceicornis","Rosenbergiella",0.0127849620866059
"Nannotrigona testaceicornis","Snodgrassella",0
"Nannotrigona testaceicornis","Swingsia",0
"Nannotrigona testaceicornis","Tatumella",0
"Nannotrigona testaceicornis","Weissella",0.428586616884935
"Nannotrigona testaceicornis","Zymobacter",0
"Nannotrigona testaceicornis",NA,0.0196326965410631
"Oxytrigona tataira","Acinetobacter",0
"Oxytrigona tataira","Apibacter",0
"Oxytrigona tataira","Apilactobacillus",0
"Oxytrigona tataira","Arsenophonus",0
"Oxytrigona tataira","Asaia",0.000672054922465342
"Oxytrigona tataira","Bifidobacterium",0.00908618255173143
"Oxytrigona tataira","Bombella",0
"Oxytrigona tataira","Bombilactobacillus",0
"Oxytrigona tataira","Candidatus Kinetoplastibacterium",0
"Oxytrigona tataira","Commensalibacter",0
"Oxytrigona tataira","Dellaglioa",0
"Oxytrigona tataira","Dysgonomonas",0
"Oxytrigona tataira","Enterococcus",0.000821400460790974
"Oxytrigona tataira","Floricoccus",0
"Oxytrigona tataira","Fructilactobacillus",0
"Oxytrigona tataira","Fructobacillus",0
"Oxytrigona tataira","Lactobacillus",0.116190828817341
"Oxytrigona tataira","Lelliottia",0
"Oxytrigona tataira","Leuconostoc",0.000392032038104783
"Oxytrigona tataira","Ligilactobacillus",0
"Oxytrigona tataira","Liquorilactobacillus",0
"Oxytrigona tataira","Lonsdalea",0
"Oxytrigona tataira","Orbaceae_NA",0
"Oxytrigona tataira","Other",0
"Oxytrigona tataira","Pectinatus",0.872700653205828
"Oxytrigona tataira","Pseudomonas",0
"Oxytrigona tataira","Rosenbergiella",0
"Oxytrigona tataira","Snodgrassella",0
"Oxytrigona tataira","Swingsia",0
"Oxytrigona tataira","Tatumella",0
"Oxytrigona tataira","Weissella",0
"Oxytrigona tataira","Zymobacter",0
"Oxytrigona tataira",NA,0.000136848003737713
"Partamona helleri","Acinetobacter",0.00427952306773901
"Partamona helleri","Apibacter",0.301359387090063
"Partamona helleri","Apilactobacillus",0
"Partamona helleri","Arsenophonus",0
"Partamona helleri","Asaia",0
"Partamona helleri","Bifidobacterium",0.0122281997689784
"Partamona helleri","Bombella",0.00580424397190874
"Partamona helleri","Bombilactobacillus",0
"Partamona helleri","Candidatus Kinetoplastibacterium",0
"Partamona helleri","Commensalibacter",0.0960365383107486
"Partamona helleri","Dellaglioa",4.26489232836298e-05
"Partamona helleri","Dysgonomonas",0
"Partamona helleri","Enterococcus",0.017453732389707
"Partamona helleri","Floricoccus",0.000149870724325207
"Partamona helleri","Fructilactobacillus",0
"Partamona helleri","Fructobacillus",0.0144717001262742
"Partamona helleri","Lactobacillus",0.0278801450407136
"Partamona helleri","Lelliottia",0
"Partamona helleri","Leuconostoc",0
"Partamona helleri","Ligilactobacillus",0
"Partamona helleri","Liquorilactobacillus",0.127691978586853
"Partamona helleri","Lonsdalea",0
"Partamona helleri","Orbaceae_NA",0.0271534808115762
"Partamona helleri","Other",0.0184726810082217
"Partamona helleri","Pectinatus",0.299470291519981
"Partamona helleri","Pseudomonas",0
"Partamona helleri","Rosenbergiella",0
"Partamona helleri","Snodgrassella",0
"Partamona helleri","Swingsia",0
"Partamona helleri","Tatumella",0
"Partamona helleri","Weissella",0
"Partamona helleri","Zymobacter",0
"Partamona helleri",NA,0.0475055786596269
"Plebeia droryana","Acinetobacter",0
"Plebeia droryana","Apibacter",0
"Plebeia droryana","Apilactobacillus",0
"Plebeia droryana","Arsenophonus",0
"Plebeia droryana","Asaia",0
"Plebeia droryana","Bifidobacterium",0.0572727554157299
"Plebeia droryana","Bombella",0.398671639513353
"Plebeia droryana","Bombilactobacillus",0
"Plebeia droryana","Candidatus Kinetoplastibacterium",0
"Plebeia droryana","Commensalibacter",0
"Plebeia droryana","Dellaglioa",0.0200767513983786
"Plebeia droryana","Dysgonomonas",0
"Plebeia droryana","Enterococcus",0
"Plebeia droryana","Floricoccus",0
"Plebeia droryana","Fructilactobacillus",0
"Plebeia droryana","Fructobacillus",0
"Plebeia droryana","Lactobacillus",0.177756387768486
"Plebeia droryana","Lelliottia",0
"Plebeia droryana","Leuconostoc",0
"Plebeia droryana","Ligilactobacillus",0.165929298016246
"Plebeia droryana","Liquorilactobacillus",0
"Plebeia droryana","Lonsdalea",0
"Plebeia droryana","Orbaceae_NA",0
